,ST,PWGTP,AGEP,DDRS,DEAR,DEYE,DOUT,DPHY,DRATX,DREM,SCHL,SEX,ESR,FOD1P,OCCP10
224,17,37,31,2.0,2,2,2.0,2.0,,2.0,18.0,2,1.0,,5240.0
225,17,29,38,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,2414.0,430.0
226,17,28,37,2.0,2,2,2.0,2.0,,2.0,21.0,2,6.0,2304.0,
227,17,27,11,2.0,2,2,,2.0,,2.0,8.0,2,,,
228,17,27,10,2.0,2,2,,2.0,,2.0,7.0,2,,,
229,17,28,5,2.0,2,2,,2.0,,2.0,2.0,1,,,
230,17,1,38,2.0,2,2,2.0,2.0,,2.0,22.0,2,1.0,1105.0,205.0
231,17,2,36,2.0,2,2,2.0,1.0,,2.0,20.0,1,6.0,,430.0
232,17,3,80,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
233,17,27,29,2.0,2,2,2.0,2.0,,2.0,14.0,2,3.0,,4110.0
234,17,37,12,2.0,2,2,,2.0,,2.0,9.0,2,,,
235,17,38,10,2.0,2,2,,2.0,,2.0,7.0,2,,,
236,17,49,8,2.0,2,2,,2.0,,2.0,5.0,1,,,
237,17,37,5,2.0,2,2,,2.0,,2.0,2.0,2,,,
238,17,38,52,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,5620.0
239,17,12,34,2.0,2,2,2.0,2.0,,2.0,18.0,1,1.0,,5620.0
240,17,15,39,2.0,2,2,2.0,2.0,,2.0,20.0,2,1.0,,3255.0
241,17,21,20,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,4720.0
242,17,61,75,2.0,2,2,2.0,1.0,,2.0,22.0,1,6.0,2400.0,
243,17,78,75,2.0,2,2,1.0,1.0,,2.0,23.0,2,6.0,3301.0,
244,17,22,47,2.0,2,1,1.0,1.0,,1.0,16.0,2,3.0,,9920.0
245,17,18,15,2.0,2,2,2.0,2.0,,2.0,12.0,2,,,
246,17,22,12,2.0,2,2,,2.0,,2.0,8.0,2,,,
247,17,21,11,2.0,2,2,,2.0,,2.0,6.0,1,,,
248,17,20,26,2.0,2,2,2.0,2.0,,1.0,16.0,1,6.0,,
249,17,12,23,2.0,2,2,2.0,1.0,,2.0,15.0,2,6.0,,5120.0
250,17,13,47,2.0,2,2,2.0,2.0,,2.0,23.0,1,1.0,1401.0,2100.0
251,17,13,36,2.0,2,2,2.0,2.0,,2.0,21.0,2,2.0,1902.0,2850.0
252,17,12,3,,2,2,,,,,1.0,1,,,
253,17,15,0,,2,2,,,,,,2,,,
254,17,42,64,2.0,2,2,1.0,1.0,2.0,2.0,19.0,1,6.0,,
255,17,34,61,2.0,2,2,2.0,1.0,,2.0,19.0,2,6.0,,
256,17,63,22,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,9140.0
257,17,3,19,2.0,2,2,2.0,2.0,,2.0,19.0,1,6.0,,4760.0
258,17,15,63,2.0,2,2,2.0,2.0,2.0,2.0,20.0,1,1.0,,1540.0
259,17,11,62,2.0,2,2,2.0,2.0,2.0,2.0,16.0,1,6.0,,7750.0
260,17,12,52,2.0,2,2,2.0,2.0,,2.0,13.0,2,1.0,,8030.0
261,17,25,60,2.0,2,2,2.0,2.0,,2.0,20.0,2,2.0,,3600.0
262,17,22,48,2.0,2,2,2.0,2.0,,2.0,18.0,1,1.0,,4220.0
263,17,50,43,1.0,2,2,1.0,1.0,,1.0,18.0,2,6.0,,
264,17,63,31,2.0,2,2,2.0,2.0,,2.0,18.0,1,6.0,,
265,17,35,53,2.0,2,2,2.0,2.0,,2.0,20.0,1,6.0,,6230.0
266,17,6,50,2.0,2,2,2.0,1.0,,2.0,13.0,2,3.0,,4610.0
267,17,5,54,2.0,1,2,2.0,2.0,,1.0,13.0,1,6.0,,7220.0
268,17,9,20,2.0,2,2,2.0,2.0,,1.0,16.0,1,1.0,,6730.0
269,17,10,53,2.0,2,2,2.0,2.0,,2.0,20.0,1,1.0,,7920.0
270,17,8,60,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,4720.0
271,17,16,59,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,4901.0,3500.0
272,17,24,78,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
273,17,20,46,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,6203.0,4850.0
274,17,18,45,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,3401.0,910.0
275,17,18,15,2.0,2,2,2.0,2.0,,2.0,12.0,2,,,
276,17,18,14,2.0,2,2,,2.0,,2.0,10.0,1,,,
277,17,20,12,2.0,2,2,,2.0,,2.0,8.0,2,,,
278,17,13,44,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,2602.0,5310.0
279,17,30,15,2.0,2,2,1.0,1.0,,1.0,12.0,1,,,
280,17,11,48,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,5610.0
281,17,5,70,2.0,2,2,2.0,2.0,2.0,2.0,11.0,1,6.0,,
282,17,8,63,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,5501.0,110.0
283,17,6,61,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6107.0,3255.0
284,17,13,62,2.0,2,2,2.0,2.0,,2.0,21.0,1,1.0,6203.0,430.0
285,17,13,63,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,6004.0,2300.0
286,17,11,33,2.0,2,2,2.0,2.0,,2.0,20.0,1,2.0,,7200.0
287,17,10,33,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,5700.0
288,17,10,0,,2,2,,,,,,1,,,
289,17,10,12,2.0,2,2,,2.0,,2.0,8.0,2,,,
290,17,11,7,2.0,2,2,,2.0,,2.0,4.0,2,,,
291,17,14,5,2.0,2,2,,2.0,,2.0,2.0,1,,,
292,17,6,94,1.0,2,1,1.0,2.0,,1.0,16.0,2,6.0,,
293,17,13,19,2.0,2,2,2.0,2.0,,2.0,19.0,2,6.0,,4720.0
294,17,21,57,2.0,2,2,2.0,2.0,,2.0,22.0,1,1.0,5506.0,710.0
295,17,27,89,2.0,2,2,2.0,1.0,,2.0,11.0,2,6.0,,
296,17,21,66,2.0,2,2,2.0,2.0,,2.0,13.0,2,1.0,,8300.0
297,17,13,68,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
298,17,13,47,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,5700.0
299,17,3,94,1.0,2,2,1.0,1.0,,1.0,16.0,2,6.0,,
300,17,7,66,2.0,2,2,2.0,2.0,,2.0,21.0,2,1.0,5200.0,136.0
301,17,7,66,1.0,2,1,1.0,1.0,,1.0,20.0,1,6.0,,
302,17,13,62,2.0,2,2,2.0,2.0,,2.0,14.0,1,1.0,,7220.0
303,17,11,66,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
304,17,10,69,2.0,1,2,2.0,2.0,2.0,2.0,16.0,1,6.0,,
305,17,11,63,2.0,2,2,2.0,2.0,,2.0,19.0,2,1.0,,2430.0
306,17,8,19,2.0,2,2,2.0,2.0,,2.0,14.0,1,6.0,,
307,17,15,76,2.0,1,2,2.0,2.0,1.0,2.0,19.0,1,1.0,,160.0
308,17,16,69,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,4110.0
309,17,21,39,2.0,2,2,1.0,2.0,2.0,1.0,16.0,2,1.0,,8255.0
310,17,10,76,2.0,2,2,2.0,2.0,,2.0,16.0,1,6.0,,
311,17,11,75,2.0,2,2,2.0,2.0,,2.0,16.0,2,6.0,,
312,17,30,57,2.0,2,2,2.0,2.0,,2.0,16.0,2,1.0,,4700.0
313,17,31,58,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,9510.0
314,17,27,53,2.0,2,2,2.0,2.0,2.0,2.0,16.0,2,1.0,,4050.0
315,17,25,51,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,9130.0
316,17,22,19,2.0,2,2,2.0,2.0,,2.0,16.0,1,1.0,,5610.0
